address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
 ('Rated 2.5', 'RATED\n  Cheap place to have drinks with your friends. . Nothing much to say about this place as they really donÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99t have much thing to write about . If you are low on budget and want to booze then this is the place .'), ('Rated 5.0'," """"RATED\n  Great great great place wow I never seen any wear in Bangalore this kind of offer wyt special drinks everything's by one get four. Again beer king fisher drought pictures. Towers by one get one amazing. standard service wonderful food too good music i really love this place."""")", ('Rated 5.0', 'RATED\n  This place is always great because of great great service very friendly staff amazing offers all time nice\nMusic always crowd place but little soundey always I am a very regular guest to wyt tq .'), ('Rated 5.0', 'RATED\n  Amazing place to crowdey alwes beautiful music one of best food we had pannr tikk amazing wonderful teast and indo box is super.....very good colestion in that nice offer alwes in drinkes great service friendly staff. I love thish place.'), ('Rated 5.0', 'RATED\n  Most crowd place always most popular offer place in bangalore quality of food wonderful great service. Nice nice music always. This place is mg Road near to Metro station. I love this place thanks to wyt.'), ('Rated 2.5', 'RATED\n  Cheap place to have drinks with your friends. . Nothing much to say about this place as they really donÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99t have much thing to write about . If you are low on budget and want to booze then this is the place .'), ('Rated 5.0'
"Royal Orchid Central, 47/1, Dickenson Road, Off MG Road, MG Road, Bangalore",Pinxx - Royal Orchid Central,Yes,Yes,3.8 /5,200,"+91 9902000045
+91 9902000031",MG Road,Casual Dining,"Mutton Biryani, Salads, Fish, Sandwiches, Breakfast Buffet, Cheesecake","Italian, European","1,600",Dine-out
"The Park Bangalore, 14/7, MG Road, Bangalore",Monsoon - The Park Bangalore,No,Yes,4.1 /5,274,"+91 9035808038
+91 9049882302",MG Road,Fine Dining,"Salads, Brownie, Cheesecake, Salad, Biryani, Dal Makhani, Pizza","Italian, North Indian","3,000",Dine-out
"The Park Bangalore, 14/7, MG Road, Bangalore",Aqua - The Park Bangalore,No,Yes,4.0 /5,195,"+91 9035808038
+91 9049882302",MG Road,"Lounge, Bar","Cocktails, Mai Thai, Pizza, Lemon Basil Chicken","North Indian, Mediterranean, Chinese","3,000",Dine-out
"The Oberoi, 37-39, MG Road, Bangalore",Polo Club - The Oberoi,No,No,4.1 /5,116,080 25585858,MG Road,Fine Dining,"Sangria, Wine, Burgers, Tea, Cheesecake, Cheese Croquettes, Chicken Grill","American, North Indian, European, Tex-Mex","3,000",Dine-out
"The Oberoi, 37-39, MG Road, Bangalore",Szechwan Court - The Oberoi,No,No,4.1 /5,171,"080 25585858
080 41358202",MG Road,Fine Dining,"Crabmeat Soup, Sesame Chicken, Clear Soup, Peking Duck, Jasmine Tea, Crispy Lotus Stem, Sea Food",Chinese,"2,500",Dine-out
"65, Blue Moon Complex, Opposite MG Road Metro Station, MG Road, Bangalore",Soul Cafe,No,Yes,3.9 /5,317,"080 41512932
+91 9916128463",MG Road,Cafe,"Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Ice Tea","Cafe, Continental, Italian",800,Dine-out
"2nd Floor, Public Utility Building, MG Road, Bangalore",Canopy,No,No,3.0 /5,108,"080 25588542
+91 9901054792",MG Road,Casual Dining,Gulab Jamun,"North Indian, Continental, Chinese",800,Dine-out
"1st Floor, MG Road Metro Station, Church Street Entrance, MG Road, Bangalore",Chai Ki Tapri,No,No,3.7 /5,16,+91 9113934184,MG Road,Cafe,,Cafe,250,Dine-out
"2nd Floor, 1 MG Mall, Trinity Circle, MG Road, Bangalore",Mighty Small,No,No,4.1 /5,259,,MG Road,"Casual Dining, Bar","Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti","Continental, Chinese",,Dine-out
"103, MG Road, Bangalore",White Plate,No,Yes,4.2 /5,261,080 49653403,MG Road,"Casual Dining, Bar","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto","Thai, Continental, North Indian","1,500",
 ('Rated 4.0'," """"RATED\n  A nice place with a lovely ambience", good service and nice food.\n\nWe came here for a quite evening dinner and we're not disappointed. The warm ambience and friendly service is evident from the start.\n\nThe cocktail menu on Zomato is a bit misleading as most of the elements are not available due to some recent changes in the menu. This put us off slightly.\n\nBut the food was good right from the palate cleansers served at the start and the complimentary bread.\n\nWe ordered the zimarkhand galouti and the Roesti. Both of which were nice. The Galouti was slightly in the bland side though.\n\nWe also ordered their signature Deconstructed black forest," which was a bit disappointing. The dessert was too sweet and lacked a certain balance. A big plus for the plating and presentation though."""")", ('Rated 3.5', 'RATED\n  Ordered Hummus Bi Tahini, Smoked Chicken Salad, Tagliatelle Con Pollo Marrakesh, Pan Seared Breast of Chicken and Tiramisu our of which the last 3 were the best.\nThe staff is friendly.'), ('Rated 4.5'," """"RATED\n  Very good experience. Second time here. Had the lobster risotto. I had my eye on this the first time. it's the best I have had. Very good flavor. Their blueberry desert was also very good. Definitely recommended."""")", ('Rated 4.0', 'RATED\n  It was my first time
"Shop 18, Ramanashree Arcade, MG Road, Bangalore",Pizza Hut,Yes,No,3.6 /5,37,"+91 9886340922
+91 9964827578",MG Road,Casual Dining,Pizza,"Pizza, Fast Food",750,Dine-out
"Hotel Ramanashree, 2/1, Brunton Road, Opposite Old Passport Office, MG Road, Bangalore",Nithyothsav - Hotel Ramanashree,No,No,3.0 /5,31,"080 46659000
+91 9611197981",MG Road,Casual Dining,,"North Indian, Chinese","1,000",Dine-out
"44, Spencer Building, MG Road, Bangalore",Cafe Coffee Day The Lounge,No,No,3.7 /5,30,+91 7483350284,MG Road,Cafe,,"Cafe, Fast Food",900,Dine-out
"Plot 8, Ashley Park Road, Town house, Off MG Road, Bangalore",RR Catering,No,No,3.4 /5,10,+91 8867165957,MG Road,Quick Bites,"Garlic Naan, Tandoori Chicken, Basmati Rice","North Indian, Chinese, Biryani",350,Dine-out
"Lower walkway, Rangoli Metro Art Center, Boulevard, MG Road, Bangalore",Dasaprakash Cafe,No,No,3.2 /5,10,+91 9845083676,MG Road,Cafe,,Cafe,400,Dine-out
"1st Floor, 1 MG Road Mall, Trinity Circle, Opposite Taj Vivanta, MG Road, Bangalore",The Coffee Bean & Tea Leaf,Yes,No,3.8 /5,262,+91 8022086888,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700,Dine-out
"The Park Bangalore, 14/7, MG Road, Bangalore, Karnataka",Italia - The Park Bangalore,No,No,3.8 /5,84,"+91 9035808038
+91 9049882302",MG Road,Fine Dining,"Pasta, Pizza, Wine, Tiramisu, Spaghetti, Salad, Ravioli",Italian,"2,500",Dine-out
"4/1, Brunton Road, MG Road, Bangalore",Berrylicious Cafe,No,No,3.7 /5,82,"+91 9035808038
+91 9049882302",MG Road,Fine Dining,"Pasta, Pizza, Wine, Tiramisu, Spaghetti, Salad, Ravioli",Italian,"2,500",Dine-out
"1 MG Road Mall, MG Road, Bangalore",Mamma Mexicana,Yes,Yes,2.2 /5,409,+91 9886670606,MG Road,Casual Dining,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Mexican,"1,000",Dine-out
"3rd Floor, Garuda Mall, MG Road, Bangalore",Shiv Sagar,No,No,NEW,0,+91 9513300048,MG Road,Casual Dining,,"South Indian, North Indian, Chinese",800,Dine-out
"Church Street, Shanthala Nagar, Ashok Nagar, MG Road, Bangalore",The Bundle Co.,Yes,No,4.4 /5,231,+91 9148887222,MG Road,Quick Bites,"Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings","Burger, Continental, Italian, Beverages",700,
" pick anything you'll like it!\nWe recommend a visit. You wonÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99t be disappointed."""")", ('Rated 5.0', 'RATED\n  This place can truly be enjoyed by both vegetarians and non-vegetarians!!The menu has some really delicious items.The food really is of such good quality !I really enjoyed my time here, not only was the quality good but the taste and presentation too..Special mention for the staff who are so courteous..'), ('Rated 4.0', 'RATED\n  Loved the setting. The cobblestone road in the front adds to the beauty of this place. No mess place. Dint order the burger this time but everything else that came including the drinks was amazing.\nDisappointed that they ran out of the cheesecake they are known for.'), ('Rated 4.0'," """"RATED\n  Stopped by The bundle co for lunch with a friend.\nTried their bulls eye burger!OMG it was an foodgasmic burger... What a burger!! like usually I wouldn't sit down and write about a burger but it was really that good..Also", I need to mention that the service too was good," really well trained staff !Kudos .."""")", ('Rated 5.0'," """"RATED\n  We came here for quick lunch !The menu definitely did not disappoint me.. I had previously read so many reviews and was confident coming in here ... The staff are courteous and also sweet. Makes the whole experience better than most places.\nFood", 'RATED\n  This place can truly be enjoyed by both vegetarians and non-vegetarians!!The menu has some really delicious items.The food really is of such good quality !I really enjoyed my time here
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4.0 /5,1466,080 25582161,MG Road,"Dessert Parlor, Cafe","Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Fast Food, Beverages",450,
 ('Rated 4.0', 'RATED\n  ItÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s a very old, famous place. They serve ice creams to your car also. And itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s open till midnight.\nI ordered the cookies and cream waffle and hot chocolate fudge. The best thing about their ice cream is that you get the milk taste. One spoon of this ice cream and you can tell that itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s been freshly made.\nWish it had a better ambiance. Except that itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s a must visit ice cream parlour.'), ('Rated 4.0'," """"RATED\n  A great place to relish one of the most amazing ice creams on MG road", anytime is a great time to visit this place and I've always loved their place since forever and the service says everything about them, they are accurate and swift. You Don't have to worry about stepping out of your car, they will serve it to your car. Sizzling brownie, red velvet sundae and chicken cutlet are my most favourite," fruit salads are a must try here. Parking is not a problem on most days."""")", ('Rated 5.0'," """"RATED\n  Had been here with friends to satisfy our late night ice cream cravings! It was way too fun.Don remember what all we ordered since im posting this very late. Taste of Alphonso mango with vanilla ice cream is something i can't forget. It leaves you craving for more of it!"""")", Lamb Burger. And pista shake and chocolate shake. Every item was barely edible. Even the bun was not fresh. The wafers they served with the sandwich and burgers were oily. How can someone go wrong with something as basic as vegetable sandwich? Visit this place to find out.\n\nChoclate shake was nothing more than Hershey's drinking chocolate and milk put in a mixer. It still pains me to recall that I paid 130 bucks for 300ml of that thing which I could make in my own kitchen for basically free. And much better too.\n\nService was good although and then ambience is like of any regular snack point.\n\nWe visited this place because of the landmark
"44/5, Padmashree Building Dickenson Road, MG Road, Bangalore",Chetty's Coffee,Yes,No,3.7 /5,19,+91 7022919192,MG Road,Quick Bites,,South Indian,200,Dine-out
"2, St. Patrick's Shopping Arcade, MG Road, Bangalore",Stars 'N' Stripes,No,No,2.7 /5,77,"080 25593643
080 25913583",MG Road,Quick Bites,"Burgers, Biryani","North Indian, Chinese, Fast Food",500,
 tandoori chicken, butter chicken, roomali roti. Words cant describe how repugnant this was. The points here are only for the tandoori chicken. Ray of shining light.\n\nThe dessert was spoilt and not edible.\n\nVfm - cheap.\n\ntravellingfatty.com'), ('Rated 4.0'," """"RATED\n  I think this is one of the land marks of Bangalore", this place still draws me back there for its service and its food," i only love to sit and enjoy some good steaks and burgers here..  \nA few years ago before your KFC and the rest of the Jazz came along this and a few other places in Bangalore had their very own style in burgers and im talking about the beef burgers. they also used to have chef's that were masters in making mayonnaise by hand. \nThese are a few things that not many people know about of the joints that brought Bangalore into the limelight apart from the pubs and the draft beer guzzling. \nThe Burgers haven't changed much here and the Food still rocks but the staff can get  few tips on customer handling and management. \nA must visit for foodies..."""")", ('Rated 4.0'," """"RATED\n  Been here for a quick lunch in between Busy hours... They have a plethora of combos which are quite confusing to zoom onto one. Service and ambience was just average... Once the food landed on table"," the other worries can be put at bay. Both the veg and non veg combos were excellent. My friend was praising the biryani and gravy served along. The veg combo I had didn't dissapoint either. The paneer was cooked well. Just melted in mouth. The cheese pudding given along was simply amazing. You'll cherish every bite of it. Dont miss the katti rolls either."""")", ('Rated 3.0', 'RATED\n  This joint has been around since the eighties. Preferred for their burgers and really tasty mayo. Quality has taken a beating over the years the quality has taken a nosedive. Probably they should have stuck to their specialities rather than increase variety.'), ('Rated 1.5'
"Trinity Metro Station, Namma Metro, MG Road, Bangalore",Domino's Pizza,Yes,No,3.9 /5,121,"080 25329010
18602100000",MG Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",400,Dine-out
"142, Trinity Complex, Near Lido Mall, MG Road, Bangalore",New Kudla Family Resturant,Yes,No,3.2 /5,6,+91 9980990695,MG Road,Quick Bites,,"North Indian, Chinese",450,Dine-out
"10, M/S India Garage, Kasturba Road, MG Road, Bangalore",McDonald's,Yes,No,3.9 /5,119,+91 8928210066,MG Road,Quick Bites,"Burgers, French Fries, Maharaja Chicken Burger, Mc Flurry","Fast Food, Burger",500,Dine-out
"Garuda Mall, Food court, 3rd Floor, 15, Magrath Road, Craig Park Layout, Ashok Nagar, Bangalore, MG Road, Bangalore",WOW Momo,Yes,No,3.5 /5,6,+91 9741600395,MG Road,Quick Bites,,"Tibetan, Momos",400,Dine-out
"22-A, MG Road, Bangalore",Hotel Ajantha,No,No,3.9 /5,76,080 25584321,MG Road,Quick Bites,"Masala Dosa, Filter Coffee, Vada, Akki Rottis, Rava Dosa",South Indian,200,Dine-out
"Level 5, 1 MG Road Mall, MG Road, Bangalore",Yauatcha PÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â¢tisserie,Yes,No,3.9 /5,58,+91 9222222800,MG Road,Dessert Parlor,,Desserts,600,Dine-out
"Opposite Metro Station, MG Road, Bangalore",Khally Wally,No,No,,0,080 43719518,MG Road,Quick Bites,,"Biryani, Kebab",250,Dine-out
"113, MG Road, Bangalore",New Arya Bhavan,No,No,3.1 /5,23,080 40913062,MG Road,Quick Bites,,"Street Food, Beverages, North Indian",300,Dine-out
"Ground Floor, Next to IDFC Bank, Ballalbagh, MG Road, Bangalore",Chaat Chatore,No,No,,0,+91 7338599898,MG Road,Quick Bites,,"Fast Food, Street Food",150,Dine-out
"45/1, MG Road, Bangalore",Bharani's,No,No,,0,+91 9986036056,MG Road,Quick Bites,,South Indian,300,Dine-out
"47/1, Dickenson Road, Ground Floor, Off MG Road, MG Road, Bangalore",Bhaiyaji Food Court,No,No,3.3 /5,6,"+91 9535906582
080 25328999",MG Road,Quick Bites,,"North Indian, Mithai",300,Dine-out
"14/15, Manipal Center 47, Dickenson Road, MG Road, Bangalore",Sri Sai Sagar Food,No,No,,0,+91 9845815667,MG Road,Quick Bites,,"Street Food, Fast Food, North Indian",300,Dine-out
"105, Dickenson Road, Commercial Street Area, Commercial Street, Bangalore",Vasudev Adiga's,No,No,3.8 /5,86,080 41135857,MG Road,Quick Bites,"Masala Dosa, Idli, Vada, Filter Coffee","South Indian, North Indian, Chinese, Street Food",250,Dine-out
"Near Metro Station, MG Road, Bangalore",Goli Vada Pav NO.1,No,No,3.4 /5,7,"+91 9663786652
+91 9845461710",MG Road,Quick Bites,,Street Food,200,Dine-out
"28, Centenary Building, MG Road, Bangalore",Tandoor Da Funda,No,No,3.6 /5,15,080 41745050,MG Road,Quick Bites,,North Indian,350,Dine-out
"16, Wood Street, Ashok Nagar, Richmond Road, Bangalore",Olive Bar And Kitchen,No,Yes,4.5 /5,2216,"080 41128400
+91 9945565483",Richmond Road,Casual Dining,"Salads, Cocktails, Hazelnut Cake, Pepperoni Pizza, Mocktails, Calamari, Risotto","Mediterranean, European, Salad","1,800",
 all boxes ticked ! !! my personal FAV the crab cake and the moussaka (non veg) ,its a place to really unwind relax and enjoy a perfect meal .'), ('Rated 5.0', 'RATED\n  Good food, amazing ambiance, great blues and rock music and nice service. This is a perfect place for a nice date on a Saturday evening.\n\nRecommendations: Starter Platter, Chilli Martini.'), ('Rated 5.0', 'RATED\n  One word captures the essence of this place is AMAZING. Great ambience, staff location, drinks and food. Such a romantic place tucked away in small friendly neighbourhood that you will fall in love. The Mediterranean setting with lovely and soothing music sets the mood for a relaxed dining experience. We celebrated our anniversary here and we will remember the evening for a lifetime. Do try there Sangria, Pizzas and Pasta... they awesome ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â°ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x9fÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x91ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x8dÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â°ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x9fÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x98ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x8a'), back when it was called Olive Beach. A recent visit for a simple meal (yeah
"HM Eleganza, 31, Museum Road, Off MG Road, Church Street, Bangalore",Chutney Chang,Yes,Yes,4.2 /5,4752,"080 40001234
+91 9008001193",Church Street,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry","North Indian, Chinese, BBQ","1,500",
 chaats, dessert," main course and customised orders. Must visit for a big time foodie.\nCheers!! Keep hogging!!"""")", ('Rated 4.0', 'RATED\n  They have a wide range of dishes offered in their buffet.. the dishes offered are really good.. specially the starters. Loved the buffet here and it is worth every penny. The chutneys are the main reason I happened to go there..'), ('Rated 4.0'," """"RATED\n  My kind of place! The Buffet here is something you should never miss ! The variety of chinese delicacies and with variety of deserts will make you to visit this place again and again.\n\nBest Chinese buffet in town! You should like really really try the food out there! One of the biggest buffets ever and everything is just scrumptious.\n\nChutney Chang", is a place to look forward to when you think of buffet. Located at Ashok nagar a stone throw distance from MG road offers the best food that you can get in a buffet. The lavish buffet has a mixture of vegetarian and non vegetarian food. The Chaat section as well the tandoor section is their main attractions. The main course is not the typical fillling type which you find in the usual buffets. They have seating down stairs as well as up stairs," if you looking for a group of twenty plus ask for the upstairs seating which has very scenic view of bamboo shoots and greenery.\n\nMomo's with the chutneys is a must try..."""")", ('Rated 4.0'," """"RATED\n  Don't judge a book by its cover. A not so great looking place from outside with really awesome Chinese and Indian food. Great service and overall good experience at this buffet place.\n\nFood- 4/5\nPresentation- 3.5/5\nMusic- None\nHygiene- 4/5\nOverall- 4/5\n\nMy experience- Went here on a Tuesday for team lunch. Really great service but customised orders took time to be prepared. Great variety of both veg and non veg food. There were a few dishes which tasted amazing (special mention of dal makhani and chicken biryani). The sections were segregated very well i.e. grills", chaats, ('Rated 4.0'
